
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/hlanka3/miniconda3/envs/torchtest/bin/python"
Command Line Arguments:,"/home/hlanka3/amdprofilecontrol/AMD/RandomResizedCrop.py "
Working Directory:,"/data/home/hlanka3/amdprofilecontrol/AMD"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Sat Jul 20 22:41:58 2024"
Profile End Time:,"Sat Jul 20 22:42:33 2024"
Profile Duration:,"0.011 seconds"
Data Folder:,"/home/hlanka3/AMD_Temp/AMDuProf-python-TBP_Jul-20-2024_22-41-58"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","1.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."

"100 HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME",Module
"ImagingResampleHorizontal_8bpc",325.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/PIL/_imaging.cpython-311-x86_64-linux-gnu.so"
"__memcpy_avx_unaligned_erms",48.0000,"/usr/lib/x86_64-linux-gnu/libc-2.31.so"
"ImagingResampleVertical_8bpc",6.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/PIL/_imaging.cpython-311-x86_64-linux-gnu.so"

"100 HOTTEST PROCESSES (Sort Event - CPU_TIME)"
PROCESS,"CPU_TIME"
"python (PID:6609)",379.0000

"100 HOTTEST MODULES (Sort Event - CPU_TIME)"
MODULE,"CPU_TIME"
"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/PIL/_imaging.cpython-311-x86_64-linux-gnu.so",331.0000
"/usr/lib/x86_64-linux-gnu/libc-2.31.so",48.0000

"100 HOTTEST THREADS (Sort Event - CPU_TIME)"
THREAD,"CPU_TIME"
"python [TID:6609] (PID:6609)",379.0000
