
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/hlanka3/miniconda3/envs/torchtest/bin/python"
Command Line Arguments:,"/home/hlanka3/amdprofilecontrol/AMD/ToTensor.py "
Working Directory:,"/data/home/hlanka3/amdprofilecontrol/AMD"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Sat Jul 20 22:42:34 2024"
Profile End Time:,"Sat Jul 20 22:43:18 2024"
Profile Duration:,"0.013 seconds"
Data Folder:,"/home/hlanka3/AMD_Temp/AMDuProf-python-TBP_Jul-20-2024_22-42-34"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","1.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."

"100 HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME",Module
"void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#1}::operator()() const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}> >(long, char**, long const*, long, long)",2607.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"void at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}&)",912.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"gomp_team_barrier_wait_end",668.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/libgomp.so.1.0.0"
"void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(char**, long const*, long)#1}>(at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(char**, long const*, long)#1} const&)::{lambda(char**, long const*, long, long)#1}>(long, char**, long const*, long, long)",536.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"gomp_barrier_wait_end",407.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/libgomp.so.1.0.0"
