
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/hlanka3/miniconda3/envs/torchtest/bin/python"
Command Line Arguments:,"/home/hlanka3/amdprofilecontrol-python/AMD/Normalize.py "
Working Directory:,"/data/home/hlanka3/amdprofilecontrol-python/AMD"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Wed Jul 17 17:05:26 2024"
Profile End Time:,"Wed Jul 17 17:06:15 2024"
Profile Duration:,"0.011 seconds"
Data Folder:,"/home/hlanka3/AMD_Temp/AMDuProf-python-TBP_Jul-17-2024_17-05-26"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
,"CPU_TIME","1.000 milliseconds","CPU Time is the time in which the CPU core is executing the code."

"100 HOTTEST FUNCTIONS (Sort Event - CPU_TIME)"
FUNCTION,"CPU_TIME",Module
"void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}> >(long, char**, long const*, long, long)",5395.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"void at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}&)",5282.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#3}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>)#2}> >(long, char**, long const*, long, long)",887.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so"
"gomp_team_barrier_wait_end",808.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/libgomp.so.1.0.0"
"gomp_barrier_wait_end",426.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/lib/libgomp.so.1.0.0"
"deduce_unreachable",7.0000,"/data/home/hlanka3/miniconda3/envs/torchtest/bin/python3.11"
"__tls_get_addr",1.0000,"/usr/lib/x86_64-linux-gnu/ld-2.31.so"

"100 HOTTEST PROCESSES (Sort Event - CPU_TIME)"
PROCESS,"CPU_TIME"
"python (PID:2984968)",12806.0000

"100 HOTTEST MODULES (Sort Event - CPU_TIME)"
MODULE,"CPU_TIME"
"/data/home/hlanka3/miniconda3/envs/torchtest/lib/python3.11/site-packages/torch/lib/libtorch_cpu.so",11564.0000
"/data/home/hlanka3/miniconda3/envs/torchtest/lib/libgomp.so.1.0.0",1234.0000
"/data/home/hlanka3/miniconda3/envs/torchtest/bin/python3.11",7.0000
"/usr/lib/x86_64-linux-gnu/ld-2.31.so",1.0000

"100 HOTTEST THREADS (Sort Event - CPU_TIME)"
THREAD,"CPU_TIME"
"python [TID:2985185] (PID:2984968)",241.0000
"python [TID:2985212] (PID:2984968)",240.0000
"python [TID:2985215] (PID:2984968)",238.0000
"python [TID:2985166] (PID:2984968)",237.0000
"python [TID:2985194] (PID:2984968)",237.0000
"python [TID:2985210] (PID:2984968)",237.0000
"python [TID:2985199] (PID:2984968)",235.0000
"python [TID:2985181] (PID:2984968)",234.0000
"python [TID:2985203] (PID:2984968)",234.0000
"python [TID:2985209] (PID:2984968)",234.0000
"python [TID:2985176] (PID:2984968)",233.0000
"python [TID:2985177] (PID:2984968)",233.0000
"python [TID:2985188] (PID:2984968)",233.0000
"python [TID:2985161] (PID:2984968)",232.0000
"python [TID:2985163] (PID:2984968)",232.0000
"python [TID:2985206] (PID:2984968)",232.0000
"python [TID:2985162] (PID:2984968)",231.0000
"python [TID:2985179] (PID:2984968)",231.0000
"python [TID:2985192] (PID:2984968)",231.0000
"python [TID:2985202] (PID:2984968)",231.0000
"python [TID:2985217] (PID:2984968)",231.0000
"python [TID:2985169] (PID:2984968)",230.0000
"python [TID:2985178] (PID:2984968)",230.0000
"python [TID:2985197] (PID:2984968)",230.0000
"python [TID:2985205] (PID:2984968)",229.0000
"python [TID:2985156] (PID:2984968)",228.0000
"python [TID:2985170] (PID:2984968)",228.0000
"python [TID:2985173] (PID:2984968)",228.0000
"python [TID:2985174] (PID:2984968)",228.0000
"python [TID:2985198] (PID:2984968)",228.0000
"python [TID:2985204] (PID:2984968)",228.0000
"python [TID:2985157] (PID:2984968)",227.0000
"python [TID:2985195] (PID:2984968)",227.0000
"python [TID:2985180] (PID:2984968)",226.0000
"python [TID:2985207] (PID:2984968)",226.0000
"python [TID:2985171] (PID:2984968)",225.0000
"python [TID:2985187] (PID:2984968)",225.0000
"python [TID:2985193] (PID:2984968)",225.0000
"python [TID:2985167] (PID:2984968)",224.0000
"python [TID:2985160] (PID:2984968)",223.0000
"python [TID:2985186] (PID:2984968)",223.0000
"python [TID:2985218] (PID:2984968)",223.0000
"python [TID:2985175] (PID:2984968)",216.0000
"python [TID:2985159] (PID:2984968)",208.0000
"python [TID:2985158] (PID:2984968)",205.0000
"python [TID:2985184] (PID:2984968)",203.0000
"python [TID:2985164] (PID:2984968)",200.0000
"python [TID:2985168] (PID:2984968)",193.0000
"python [TID:2985189] (PID:2984968)",193.0000
"python [TID:2985191] (PID:2984968)",193.0000
"python [TID:2985200] (PID:2984968)",192.0000
"python [TID:2985208] (PID:2984968)",190.0000
"python [TID:2984968] (PID:2984968)",184.0000
"python [TID:2985172] (PID:2984968)",161.0000
"python [TID:2985214] (PID:2984968)",158.0000
"python [TID:2985190] (PID:2984968)",157.0000
"python [TID:2985216] (PID:2984968)",75.0000
"python [TID:2985213] (PID:2984968)",71.0000
"python [TID:2985196] (PID:2984968)",63.0000
"python [TID:2985165] (PID:2984968)",60.0000
"python [TID:2985182] (PID:2984968)",58.0000
"python [TID:2985211] (PID:2984968)",50.0000
"python [TID:2985183] (PID:2984968)",49.0000
"python [TID:2985201] (PID:2984968)",49.0000
